f0_,month,year
1095346,1,2021
1088929,12,2020
1736704,11,2020
2248869,10,2020
2488225,9,2020
2329514,8,2020
2105808,7,2020
1882273,6,2020
1487890,5,2020
682762,4,2020
1068457,3,2020
1146830,2,2020
1240596,1,2020
955210,12,2019
1478708,11,2019
2092573,10,2019
2444900,9,2019
2344224,8,2019
2181064,7,2019
2125370,6,2019
1924563,5,2019
1766094,4,2019
1327960,3,2019
943744,2,2019
967287,1,2019
1016505,12,2018
1260355,11,2018
1878657,10,2018
1877884,9,2018
1977177,8,2018
1913625,7,2018
1953103,6,2018
1824710,5,2018
1307543,4,2018
976672,3,2018
843114,2,2018
718994,1,2018
889967,12,2017
1330649,11,2017
1897592,10,2017
1878098,9,2017
1816498,8,2017
1735599,7,2017
1731594,6,2017
1523268,5,2017
1315404,4,2017
727665,3,2017
791647,2,2017
726676,1,2017
812192,12,2016
1196942,11,2016
1573872,10,2016
1648856,9,2016
1557663,8,2016
1380110,7,2016
1460318,6,2016
1212280,5,2016
1013149,4,2016
919921,3,2016
560874,2,2016
509478,1,2016
804125,12,2015
987245,11,2015
1212277,10,2015
1289699,9,2015
1179044,8,2015
1085676,7,2015
941219,6,2015
961986,5,2015
652390,4,2015
341826,3,2015
196930,2,2015
285552,1,2015
399069,12,2014
529188,11,2014
828711,10,2014
953887,9,2014
963489,8,2014
968842,7,2014
936880,6,2014
866117,5,2014
670780,4,2014
439117,3,2014
224736,2,2014
300400,1,2014
443966,12,2013
675774,11,2013
1037712,10,2013
1034359,9,2013
1001958,8,2013
843417,7,2013
577702,6,2013